run_name,mode,token_budget,count,exact_match,avg_steps,avg_llm_calls,avg_generated_tokens,batch_dir
greedy_tok300,greedy,300,10,0.6,1.0,1.6,324.9,/workspace/TDCA/exp_outputs/tdca_grid_20260326_143428/greedy_tok300/hotpot_dev_distractor_v1_20260326_145550
no_diffusion_tok300,no_diffusion,300,10,0.6,1.0,1.6,324.9,/workspace/TDCA/exp_outputs/tdca_grid_20260326_143428/no_diffusion_tok300/hotpot_dev_distractor_v1_20260326_153849
tdca_tok300,tdca,300,10,0.6,1.0,1.6,324.9,/workspace/TDCA/exp_outputs/tdca_grid_20260326_143428/tdca_tok300/hotpot_dev_distractor_v1_20260326_143429
uniform_tok300,uniform,300,10,0.6,1.0,1.6,324.9,/workspace/TDCA/exp_outputs/tdca_grid_20260326_143428/uniform_tok300/hotpot_dev_distractor_v1_20260326_151654
greedy_tok600,greedy,600,10,0.5,2.0,2.7,645.8,/workspace/TDCA/exp_outputs/tdca_grid_20260326_143428/greedy_tok600/hotpot_dev_distractor_v1_20260326_145800
no_diffusion_tok600,no_diffusion,600,10,0.5,2.0,2.6,638.7,/workspace/TDCA/exp_outputs/tdca_grid_20260326_143428/no_diffusion_tok600/hotpot_dev_distractor_v1_20260326_154102
tdca_tok600,tdca,600,10,0.5,2.0,2.7,645.8,/workspace/TDCA/exp_outputs/tdca_grid_20260326_143428/tdca_tok600/hotpot_dev_distractor_v1_20260326_143643
uniform_tok600,uniform,600,10,0.5,2.0,2.6,642.6,/workspace/TDCA/exp_outputs/tdca_grid_20260326_143428/uniform_tok600/hotpot_dev_distractor_v1_20260326_151908
greedy_tok1200,greedy,1200,10,0.6,2.9,3.3,916.6,/workspace/TDCA/exp_outputs/tdca_grid_20260326_143428/greedy_tok1200/hotpot_dev_distractor_v1_20260326_150210
no_diffusion_tok1200,no_diffusion,1200,10,0.5,3.3,3.5,1034.6,/workspace/TDCA/exp_outputs/tdca_grid_20260326_143428/no_diffusion_tok1200/hotpot_dev_distractor_v1_20260326_154513
tdca_tok1200,tdca,1200,10,0.6,2.9,3.3,945.9,/workspace/TDCA/exp_outputs/tdca_grid_20260326_143428/tdca_tok1200/hotpot_dev_distractor_v1_20260326_144059
uniform_tok1200,uniform,1200,10,0.5,3.3,3.5,1053.2,/workspace/TDCA/exp_outputs/tdca_grid_20260326_143428/uniform_tok1200/hotpot_dev_distractor_v1_20260326_152324
greedy_tok2400,greedy,2400,10,0.4,4.3,4.5,1373.8,/workspace/TDCA/exp_outputs/tdca_grid_20260326_143428/greedy_tok2400/hotpot_dev_distractor_v1_20260326_150807
no_diffusion_tok2400,no_diffusion,2400,10,0.5,4.5,4.8,1420.5,/workspace/TDCA/exp_outputs/tdca_grid_20260326_143428/no_diffusion_tok2400/hotpot_dev_distractor_v1_20260326_155149
tdca_tok2400,tdca,2400,10,0.5,4.3,4.5,1346.7,/workspace/TDCA/exp_outputs/tdca_grid_20260326_143428/tdca_tok2400/hotpot_dev_distractor_v1_20260326_144712
uniform_tok2400,uniform,2400,10,0.6,4.2,4.6,1347.3,/workspace/TDCA/exp_outputs/tdca_grid_20260326_143428/uniform_tok2400/hotpot_dev_distractor_v1_20260326_153011
